retailer,brand,color,size,title,link,last_run
Target,Hanes,Assorted,S,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701588,
Target,Hanes,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701589,
Target,Hanes,Assorted,L,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701590,
Target,Hanes,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701591,
Target,Hanes,Assorted,2XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701592,
Target,Hanes,Assorted,All,Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-bikini-underwear-colors-may-vary/-/A-85864825?preselect=85701623,
Target,Hanes,,S,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701626,
Target,Hanes,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701627,
Target,Hanes,,L,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701629,
Target,Hanes,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701630,
Walmart,Fruit of the Loom,,,P6 Cotton,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Brief-Underwear-6-Pack/971586734,
Walmart,Fruit of the Loom,,,P10 Cotton Brief,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Brief-Underwear-10-Pack/397061451,
Walmart,Fruit of the Loom,,,P10 Cotton Bikini,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Bikini-Underwear-10-Pack/143867866,
Walmart,Fruit of the Loom,,M,P6 Microfiber Briefs M,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/110037290,
Walmart,Fruit of the Loom,,L,P6 Microfiber Briefs L,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/142502585,
Walmart,Fruit of the Loom,,XL,P6 Microfiber Briefs XL,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/209599705,
Walmart,Fruit of the Loom,,2XL,P6 Microfiber Briefs 2XL,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/322365944,
Walmart,Fruit of the Loom,,3XL,P6 Microfiber Briefs 3XL,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/360755628,
Walmart,Fruit of the Loom,,XS,P6 Microfiber Bikini XS,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/970292239,
Walmart,Fruit of the Loom,,S,P6 Microfiber Bikini S,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/578134430,
Amazon,Hanes,White,8 US,"Hanes Women's Underwear Briefs Pack, 10-Pack, Cotton Panties for Women, Moisture-Wicking, Full Coverage",https://www.amazon.com/dp/B00FZR19OE,
Amazon,Fruit of the Loom,Assorted,7,"Fruit of the Loom Women's Breathable Underwear, Moisture Wicking Keeps You Cool & Comfortable, Available in Plus Size",https://www.amazon.com/dp/B07QQTN26P,
Amazon,Hanes,Assorted,,"Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-Pack",https://www.amazon.com/dp/B0BQZ91NYP,
Amazon,Hanes,10-pack Black; All White; Assorted Solids/Prints/Heathers; Pink/Black/Grey Heather/Navy/Tea Floral/White; Solid/Print Mix; All Black,,"Hanes Women's Bikini/Brief/Hi-Cut/High-Waist Underwear Pack, 10-Pack, Full-Coverage Cotton Blend",https://www.amazon.com/dp/B0GF9TYXT1,
Amazon,Hanes,Assorted Colors,,"Hanes Women's Comfort Flex Fit Seamless Underwear Pack, 6-Pack",https://www.amazon.com/dp/B0B4RM7T4X,
Amazon,Hanes,Basic Color Mix,,"Hanes Originals Women's Bikini Panties, Stretch Cotton, Basic Assorted Colors, 6-Pack",https://www.amazon.com/dp/B0BQZ76SDF,
Amazon,Hanes,Assorted; Solid/Heather/Print Mix; Assorted Mix; White,,"Hanes Women's Signature Cotton Breathe Briefs Underwear Pack, 6-Pack",https://www.amazon.com/dp/B07PYB6P1V,
Amazon,Hanes,Solid/Print Mix,,JUST MY SIZE by Hanes Women's Cool Comfort Cotton High 6-Pack Briefs,https://www.amazon.com/dp/B0CRTB52LM,
Amazon,Hanes,White/Navy/Black,,"Hanes Women's Cotton Bikini Panty, 6-Pack, 42H6CC",https://www.amazon.com/dp/B0DMT6Y7G7,
Amazon,Hanes,Assorted Colors; 6-pack Hipsters,,"Hanes Women's Organic Cotton Panties Pack, ComfortSoft Underwear, 6-Pack Hipsters",https://www.amazon.com/dp/B0C39J9BX4,
Dollar General,Hanes,,7,"Hanes Women's Hi-Cuts Underwear, 5-Pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-7-5-pack/738994528025,
Dollar General,Hanes,Assorted,,Hanes Assorted Ladies Cotton Tagless Briefs,https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958238,
Dollar General,Hanes,,8,"Hanes Women's Hi-Cuts Underwear, 5 pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-8-5-pack/738994528032,
Dollar General,Hanes,,9,"Hanes Women's Hi-Cuts Underwear, 5 pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size-9-5-pack/738994528049,
Dollar General,Hanes,,10,"Hanes Women's Hi-Cuts Underwear, 5 pack",https://www.dollargeneral.com/p/hanes-women-s-hi-cuts-underwear-size---pack/738994528056,
Dollar General,Hanes,,6,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-brief-ladies-size-6-5-ct/90563958221,
Dollar General,Hanes,,7,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958238,
Dollar General,Hanes,,8,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958245,
Dollar General,Hanes,,9,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-pk/90563958252,
Dollar General,Hanes,,10,"Hanes Assorted Ladies Cotton Tagless Briefs, 5 pk",https://www.dollargeneral.com/p/hanes-assorted-ladies-cotton-tagless-briefs-size-10-5-pk/090563958269,
JCPenney,Hanes,,,Hanes Ultimate 5-Pack ComfortSoft Brief Panties,https://www.jcpenney.com/p/hanes-ultimate-5-pack-comfortsoft-brief-panties-underwear-40w5cs/ppr5008614875?pTmplType=regular,
JCPenney,Hanes,,,Hanes Ultimate Cool Comfort Cotton Ultra Soft High-Cut Panty 6-Pack,https://www.jcpenney.com/p/hanes-ultimate-cool-comfort-cotton-ultra-soft-womens-average-full-figure-6-pack-cooling-multi-pack-high-cut-panty-43h6cc/ppr5008702479?pTmplType=regular&deptId=dept20000013&catId=cat100240035&rrplacementtype=pdppla1_jrecs,
JCPenney,Jockey,,,Jockey Elance 3-Pack Brief Panty,https://www.jcpenney.com/p/jockey-elance-3-pack-brief-panty-1484/pp5004000016?pTmplType=regular&deptId=dept20000013&catId=cat100240035&rrplacementtype=pdp1_jrecs&criteriaName=E0_Seq_Jewelry_YesPlease_Aug2024_Default_Version2,
JCPenney,Hanes,,,Hanes Cotton Men's 4-Pack Boxer Briefs,https://www.jcpenney.com/p/hanes-cotton-mens-4-pack-boxer-briefs-j742a4/ppr5008692518?pTmplType=regular&searchTerm=hanes+underwear&geoZip=37901,
JCPenney,Hanes,,,Hanes Men's Ultimate 3-Pack Moves X-Temp Boxer Brief Underwear,https://www.jcpenney.com/p/hanes-mens-ultimate-3-pack-moves-x-temp-cotton-stretch-boxer-brief-underwear-with-total-support-pouch-um6ba3/ppr5008679504?pTmplType=regular&deptId=dept20000014&catId=cat100290089&rrplacementtype=pdp1_jrecs&criteriaName=E0_Seq_Jewelry_YesPlease_Aug2024_Default_Version2,
JCPenney,Hanes,,5,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,
JCPenney,Hanes,,6,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,
JCPenney,Hanes,,7,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,
JCPenney,Hanes,,8,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,
JCPenney,Hanes,,9,Hanes Ultimate® 6-Pack Breathable Cotton Brief Underwear 40H6CC,https://www.jcpenney.com/p/hanes-ultimate-6-pack-breathable-cotton-brief-underwear-40h6cc/ppr5008188841?pTmplType=regular,
